Name	Academic Reputation SCORE	Citations per Faculty SCORE	Employment Outcomes SCORE
Massachusetts Institute of Technology (MIT)	100	100	100
Stanford University	100	99.70	100
Harvard University	100	100	100
University of Pennsylvania	98.90	72	100
Columbia University	99.90	44.50	100
University of Chicago	99.80	78.10	99.80
University of California, Berkeley (UCB)	100	97.20	99.80
Yale University	100	64.80	99.80
Northwestern University	92.20	71.20	99.50
New York University (NYU)	98.60	31.70	99.50
Cornell University	99.50	98	99.30
University of Michigan-Ann Arbor	99.30	54.50	99.10
Princeton University	100	100	98.90
University of California, Los Angeles (UCLA)	100	84.30	98
University of Southern California	61.20	66.20	98
Georgetown University	38.20	21.70	96
Duke University	92.90	47.10	95.60
University of Texas at Austin	97.60	85.40	93.90
University of Illinois at Urbana-Champaign	91.70	81.60	92.50
University of Virginia	46.50	36.50	91.90
University of Wisconsin-Madison	85.70	28.10	91
Dartmouth College	30.70	56.90	87.70
Boston University	75.30	61.90	86.90
George Washington University	31.70	43.40	85.80
Johns Hopkins University	93.20	85.80	84.10
Brown University	72.40	82.20	81.90
Purdue University	74.30	62.40	81
Carnegie Mellon University	80.10	98.60	79.90
University of Washington	90.10	69.20	79.90
Pennsylvania State University	86.10	67.20	79.20
Indiana University Bloomington	44.70	31.20	77
Michigan State University	67.30	61.20	75.60
University of Notre Dame	38	36.70	75.40
University of North Carolina, Chapel Hill	72.20	47.90	74
Tufts University	23.80	52.50	69.30
University of Florida	58.90	34.70	67.90
Georgia Institute of Technology	76	54.20	67.50
University of Houston	18.70	30.20	67.30
University of Minnesota (System)	68.60	49.20	67.20
Ohio State University	71.10	33.80	66
Boston College	29.90	26.80	64.80
Texas A&M University	72.90	75.50	63.80
Southern Methodist University	6.40	11.90	62.40
University of Maryland, College Park	57.20	60.50	59.70
University of Pittsburgh	45.40	41.70	59.70
University of Miami	24.50	48.40	59.60
Syracuse University	17	17	58
Vanderbilt University	32.30	50.60	57.50
Washington University in St. Louis	46.50	62.60	55.10
Northeastern University	28	33.70	54.30
University of Arizona	49.30	47.40	54.10
American University	19.80	7.60	51.60
University of Rochester	27.10	56.60	51.20
Iowa State University	26.40	61	50.60
California Institute of Technology (Caltech)	98.30	100	49.10
University of Colorado Boulder	49	36	48.90
University of Missouri, Columbia	17.20	23.50	48
University of Cincinnati	15.10	31.90	47.90
Fordham University	9.10	9.60	47.60
University of Iowa	25.50	27.40	47.10
Tulane University	14.50	17.50	46.20
Rice University	50.60	81.60	45.70
Lehigh University	7.20	37.10	45.40
Rutgers University – New Brunswick	47.70	16.50	44.60
Rutgers University - Newark	13.70	26	44.60
University of Massachusetts, Amherst	48.10	62.40	44.20
University at Buffalo SUNY	26.30	53	43.70
University of Kansas	17.60	13.60	42.80
Miami University	3.40	14	42.50
Emory University	34.50	85.70	42.40
Arizona State University	63.90	61.50	42.20
Rensselaer Polytechnic Institute	10.20	54.70	41.30
Virginia Polytechnic Institute (Virginia Tech)	34.50	38.70	41.10
Case Western Reserve University	22.40	66.30	40.90
University of California, San Diego (UCSD)	94	80.30	40.80
University of Connecticut	20.80	33.50	40.10
University of San Francisco	6.90	5.70	39
Temple University	16.80	24.60	38.70
William & Mary	10	16.20	38.60
University of California, Davis	72.70	66.50	38
Howard University	8.30	6	37.80
North Carolina State University	36.40	72.90	37.70
University of Denver	7.80	12.70	37.50
University of Oregon	23.20	25.30	36.90
Brigham Young University	7.70	15.80	36.90
Louisiana State University	14.10	23.80	36.80
University of Illinois Chicago (UIC)	48.80	39.20	36.40
The University of Georgia	27.90	33	35.80
Drexel University	8.90	36.90	35.30
University of Oklahoma	14.30	41.50	35.20
Florida State University	32.70	34.10	34.80
University of Arkansas Fayetteville	8.40	19	34.40
Wayne State University	9	18	34.10
Colorado State University	25.20	22.80	32.30
San Diego State University	7.90	22.80	32.10
Stony Brook University	24.20	32.40	31.90
City University of New York	25.30	6.40	31.30
Oklahoma State University	10.60	21.30	30.60
Brandeis University	12.80	25	30.50
Auburn University	11.60	24.30	29.60
Colorado School of Mines	11.30	69.90	29.40
University of Alabama	12.10	18.80	29.40
University of North Texas	10.10	30.50	29.40
Georgia State University	14.80	33.20	29
Oregon State University	19.70	44.40	28.80
University of Delaware	12.50	64.10	28.70
University of Utah	21.80	38.30	28.30
Wake Forest University	7.40	11.90	28.30
Texas Tech University	14.50	18.80	28.10
University of California, Irvine	46.60	53.10	28
Florida International University	22.70	17.50	28
University of South Carolina	17.70	37.10	28
Ohio University	10.90	14	27.90
Marquette University	3.60	15.20	27.30
Western Michigan University	5	10.70	26.30
University of California, Santa Barbara (UCSB)	65.30	99	25.60
University of Tennessee	14.30	69.30	25.20
The New School, New York City and Paris	20.40	4.60	24.90
Baylor University	8.70	12.80	24.50
University of Kentucky	15	32.10	24.40
Loyola University Chicago	12.20	12.60	24.10
Illinois Institute of Technology	16.90	47.50	22.50
University of Tulsa	2.80	15.10	22.50
University of Vermont	3.70	23	22.30
West Virginia University	6.40	28.40	21.40
Kansas State University	9.10	31.60	21
University of San Diego	9	4.50	20.30
California Polytechnic State University	5.60	4.90	19.40
Clark University	2.50	23.50	19.30
Saint Louis University	5.70	23.80	18.50
Virginia Commonwealth University	9.50	20	18.30
University of Nebraska - Lincoln	14.30	37.70	17.50
University of Central Florida	18.60	33	17.40
George Mason University	12	18	17.40
Worcester Polytechnic Institute	3.70	40.70	16.70
Portland State University	4.90	15.70	16.50
San Francisco State University	5.20	6.70	16.40
University of Wisconsin Milwaukee	9	15.30	16
University of Rhode Island	7.20	26.50	15.80
Washington State University	28.70	42.70	15.50
University of North Carolina at Charlotte	6.70	19.60	15.30
Seattle University	6.60	3.20	15.30
University of Memphis	4.10	13.90	15
Central Michigan University	3.60	11.20	15
University of Texas Arlington	7	16.40	14.90
University of Toledo	4.20	28.80	14.50
University of California, Santa Cruz	24.70	62.40	14.30
University of Nevada - Reno	6.40	24.40	13.90
Rochester Institute of Technology (RIT)	10	11.50	13.70
University of South Florida	17.40	36.70	13.50
Stevens Institute of Technology	4	60.90	13.50
Clemson University	9.60	24.80	13.50
University of Missouri, Kansas City	5.10	25.70	13.40
University of Hawaii at Mañoa	21.30	51.80	13.30
University of New Hampshire	6	24.80	13.30
Florida Atlantic University - Boca Raton	6.60	18.20	13
University of the Pacific	1.80	4.80	13
University at Albany SUNY	10.10	44.10	12.80
Mississippi State University	7.20	33.50	12.80
University of Missouri Saint Louis	5.10	13	12.70
Cleveland State University	4.50	7.70	12.40
Clarkson University	1	47.30	12.20
University of New Mexico	14.20	20.40	11.40
Binghamton University SUNY	10.10	19.50	11.30
Kent State University	7	20	11.30
Utah State University	7.40	32.80	11.30
New Mexico State University	6.60	21.30	10.80
University of Wyoming	3.60	29.60	10.60
University of Colorado, Denver	10.50	5	10.50
New Jersey Institute of Technology (NJIT)	7.50	40.60	10.40
University of Maryland, Baltimore County	13.60	20	10.30
University of Louisville	3.90	13.30	9.80
University of Mississippi	4.60	12	9.20
University of Texas at Dallas	19.30	43	9.10
University of Texas El Paso	6.80	21.50	9.10
Missouri University of Science and Technology	4.90	87.70	8.80
University of Texas at San Antonio	6.70	30.60	8
Northern Arizona University	9.50	23.40	7.50
University of Idaho	3.50	36.90	7.50
University of Massachusetts - Boston	13.80	23.30	7.40
The City College of New York	11.80	17.80	7.10
Pratt Institute	6.90	1.70	7.10
University of California, Riverside	21.40	64.20	7
IU Indianapolis	8.90	22.60	6.50
University of Alaska Fairbanks	3.40	19.90	5.90
University of Hawaii at Hilo	2.80	13.50	5.50
University of Alabama, Birmingham	7.30	24.10	5
University of North Carolina at Greensboro	3.60	15.10	5
Yeshiva University	3.80	72.80	4.90
Michigan Technological University	6.20	38.20	4.60
University of South Alabama (USA)	5.60	13.10	3.20
University of Maryland, Baltimore	7.60	22.50	2.30
